type_propriete,quartier,arrondissement,capacite_accueil,salle_de_bain,chambres,lits,prix,nb_commentaires,note_moyenne,nb_mois_en_activite
Complète,Ménilmontant,75020,2,1.0,1.0,1.0,50.0,12,100.0,16.0
Complète,Popincourt,75011,4,1.0,2.0,2.0,90.0,23,97.0,35.0
Complète,Vaugirard,75015,4,1.5,1.0,2.0,86.0,47,93.0,44.0
Complète,Buttes-Montmartre,75018,4,1.0,1.0,2.0,50.0,0,,
Complète,Palais-Bourbon,75007,5,1.0,1.0,3.0,122.0,68,96.0,19.0
Complète,Batignolles-Monceau,75017,2,1.0,1.0,1.0,90.0,2,80.0,3.0
Complète,Reuilly,75012,2,1.0,1.0,1.0,50.0,1,100.0,0.0
Complète,Ménilmontant,75020,2,1.0,1.0,1.0,85.0,17,96.0,60.0
Chambre privée,Gobelins,75013,4,1.0,1.0,2.0,80.0,9,93.0,6.0
Complète,Palais-Bourbon,75007,3,1.0,1.0,2.0,184.0,128,97.0,67.0
Complète,Ménilmontant,75020,5,1.0,3.0,3.0,95.0,17,91.0,40.0
Chambre privée,Bourse,75002,2,1.0,1.0,1.0,57.0,275,92.0,73.0
Complète,Panthéon,75005,4,1.0,2.0,2.0,100.0,0,,
Complète,Buttes-Montmartre,75018,4,1.0,1.0,1.0,80.0,0,,
Complète,Ménilmontant,75020,4,1.0,2.0,2.0,140.0,25,97.0,64.0
Complète,Temple,75003,2,1.0,1.0,1.0,190.0,74,94.0,64.0
Chambre privée,Batignolles-Monceau,75017,3,1.0,1.0,2.0,138.0,284,99.0,71.0
Complète,Opéra,75009,10,4.0,4.0,4.0,310.0,23,89.0,66.0
Complète,Opéra,75009,4,1.0,1.0,2.0,90.0,16,99.0,14.0
Chambre privée,Bourse,75002,2,1.0,1.0,1.0,74.0,187,97.0,66.0
Complète,Hôtel-de-Ville,75004,2,1.0,1.0,3.0,55.0,50,96.0,62.0
Complète,Buttes-Montmartre,75018,4,1.0,1.0,2.0,50.0,3,80.0,9.0
Complète,Gobelins,75013,3,1.0,1.0,2.0,95.0,94,98.0,67.0
Complète,Observatoire,75014,4,1.5,1.0,2.0,48.0,8,85.0,29.0
Complète,Passy,75016,2,1.0,1.0,1.0,93.0,7,94.0,12.0
Complète,Opéra,75009,2,1.0,1.0,1.0,66.0,11,87.0,13.0
Complète,Buttes-Montmartre,75018,2,1.0,1.0,1.0,70.0,3,93.0,0.0
Chambre privée,Vaugirard,75015,2,1.0,1.0,1.0,110.0,4,100.0,23.0
Complète,Buttes-Montmartre,75018,4,1.0,1.0,2.0,80.0,0,,
Complète,Temple,75003,4,1.0,2.0,2.0,80.0,1,,0.0
Complète,Popincourt,75011,4,1.5,2.0,2.0,209.0,23,100.0,43.0
Complète,Batignolles-Monceau,75017,5,1.0,2.0,4.0,220.0,10,92.0,14.0
Complète,Buttes-Montmartre,75018,3,1.0,1.0,2.0,70.0,9,89.0,21.0
Complète,Ménilmontant,75020,2,1.0,1.0,1.0,55.0,61,96.0,57.0
Complète,Reuilly,75012,5,2.0,2.0,5.0,75.0,82,86.0,66.0
Complète,Ménilmontant,75020,4,1.0,1.0,2.0,35.0,12,84.0,8.0
Chambre privée,Luxembourg,75006,1,1.0,1.0,1.0,40.0,13,98.0,52.0
Complète,Gobelins,75013,3,1.0,1.0,2.0,85.0,20,91.0,21.0
Complète,Gobelins,75013,4,1.0,1.0,1.0,130.0,101,95.0,59.0
Complète,Entrepôt,75010,2,1.0,1.0,1.0,49.0,32,88.0,23.0
Complète,Luxembourg,75006,2,1.0,1.0,0.0,82.0,20,96.0,56.0
Complète,Passy,75016,3,1.5,1.0,1.0,150.0,0,,
Complète,Buttes-Montmartre,75018,2,1.0,1.0,1.0,68.0,10,94.0,36.0
Complète,Vaugirard,75015,2,1.0,2.0,2.0,87.0,23,85.0,67.0
